class_index,class,accuracy,samples
0,apple,0.8700000047683716,100
1,aquarium fish,0.5899999737739563,100
2,baby,0.75,100
3,bear,0.5400000214576721,100
4,beaver,0.4000000059604645,100
5,bed,0.699999988079071,100
6,bee,0.6899999976158142,100
7,beetle,0.6600000262260437,100
8,bicycle,0.9100000262260437,100
9,bottle,0.9200000166893005,100
10,bowl,0.27000001072883606,100
11,boy,0.75,100
12,bridge,0.8199999928474426,100
13,bus,0.7200000286102295,100
14,butterfly,0.6100000143051147,100
15,camel,0.8600000143051147,100
16,can,0.8100000023841858,100
17,castle,0.699999988079071,100
18,caterpillar,0.3499999940395355,100
19,cattle,0.8899999856948853,100
20,chair,0.9599999785423279,100
21,chimpanzee,0.8899999856948853,100
22,clock,0.800000011920929,100
23,cloud,0.7400000095367432,100
24,cockroach,0.4699999988079071,100
25,couch,0.5400000214576721,100
26,crab,0.6399999856948853,100
27,crocodile,0.20999999344348907,100
28,cup,0.6100000143051147,100
29,dinosaur,0.6800000071525574,100
30,dolphin,0.699999988079071,100
31,elephant,0.7900000214576721,100
32,flatfish,0.5600000023841858,100
33,forest,0.550000011920929,100
34,fox,0.6899999976158142,100
35,girl,0.7200000286102295,100
36,hamster,0.7799999713897705,100
37,house,0.8700000047683716,100
38,kangaroo,0.7599999904632568,100
39,keyboard,0.8299999833106995,100
40,lamp,0.800000011920929,100
41,lawn mower,0.9700000286102295,100
42,leopard,0.3199999928474426,100
43,lion,0.7300000190734863,100
44,lizard,0.3700000047683716,100
45,lobster,0.11999999731779099,100
46,man,0.6100000143051147,100
47,maple tree,0.5400000214576721,100
48,motorcycle,0.8500000238418579,100
49,mountain,0.9599999785423279,100
50,mouse,0.1599999964237213,100
51,mushroom,0.6600000262260437,100
52,oak tree,0.41999998688697815,100
53,orange,0.8899999856948853,100
54,orchid,0.8299999833106995,100
55,otter,0.18000000715255737,100
56,palm tree,0.949999988079071,100
57,pear,0.7400000095367432,100
58,pickup truck,0.9200000166893005,100
59,pine tree,0.800000011920929,100
60,plain,0.5699999928474426,100
61,plate,0.75,100
62,poppy,0.6700000166893005,100
63,porcupine,0.18000000715255737,100
64,possum,0.2800000011920929,100
65,rabbit,0.6499999761581421,100
66,raccoon,0.5,100
67,ray,0.029999999329447746,100
68,road,0.9599999785423279,100
69,rocket,0.8899999856948853,100
70,rose,0.6299999952316284,100
71,sea,0.7599999904632568,100
72,seal,0.36000001430511475,100
73,shark,0.5299999713897705,100
74,shrew,0.4099999964237213,100
75,skunk,0.7699999809265137,100
76,skyscraper,0.8100000023841858,100
77,snail,0.5600000023841858,100
78,snake,0.6899999976158142,100
79,spider,0.49000000953674316,100
80,squirrel,0.5,100
81,streetcar,0.5899999737739563,100
82,sunflower,0.9399999976158142,100
83,sweet pepper,0.699999988079071,100
84,table,0.6600000262260437,100
85,tank,0.8299999833106995,100
86,telephone,0.7900000214576721,100
87,television,0.7400000095367432,100
88,tiger,0.4300000071525574,100
89,tractor,0.7400000095367432,100
90,train,0.9200000166893005,100
91,trout,0.3199999928474426,100
92,tulip,0.7200000286102295,100
93,turtle,0.33000001311302185,100
94,wardrobe,0.8399999737739563,100
95,whale,0.550000011920929,100
96,willow tree,0.4000000059604645,100
97,wolf,0.5400000214576721,100
98,woman,0.6200000047683716,100
99,worm,0.5099999904632568,100
